url,rightmove_id,price_text,price_value,price_currency,property_type,property_title,bedrooms,bathrooms,sizes,tenure,estate_agent,key_features,description,council_tax,parking,garden,accessibility
https://www.rightmove.co.uk/properties/162171665,162171665,"£725,000",725000,GBP,Flat,"Wharf Road, Islington, N1",2.0,2.0,702 sq ft 65 sq m,Leasehold,"Knight Frank, Islington 321-322 Upper Street,
London,
N1 2XQ More properties from this agent","['2 bedrooms', '1 reception room', '2 bathrooms', 'Lift', 'Communal Garden', 'Concierge', 'Roof Terrace', 'Town/City', 'Lateral', 'Step free access to the property']","Set within the highly desirable Merchants Building, this beautifully presented two bedroom apartment offers bright, contemporary living in the heart of a vibrant development. The home features a spacious open-plan kitchen and reception area, illuminated by a striking floor-to-ceiling window that floods the space with natural light. The principal bedroom is generously sized, complete with built-in storage and a stylish en suite bathroom featuring a walk-in shower and its own floor-to-ceiling window. The second bedroom also enjoys excellent natural light and is served by a large main bathroom with a full-size bathtub—ideal for guests. Residents of the Merchants Building benefit from a concierge service, access to a large communal roof terrace with panoramic views, and a peaceful courtyard. Additional information We have been informed that the primary external wall materials of the building/block have been assessed for fire safety. The assessor concluded that the fire risk of the external wall materials is sufficiently low that no remedial works are required. If you have any further questions, you should seek independent professional advice The Merchant Building is located on Wharf Road and is located just 0.6 miles from Angel Underground Station, which services the Northern Line, and Old Street Station (0.6 miles), which services the Underground and National Rail Services. A large number of amenities can also be found close by on Upper street and Old Street. Brochures More Details

Show less",E,Ask agent,Ask agent,Ask agent
https://www.rightmove.co.uk/properties/162236315,162236315,"£8,750,000",8750000,GBP,Detached,"Barnsbury Park, London, N1",6.0,4.0,"6,060 sq ft 563 sq m",Freehold,"Knight Frank, Islington 321-322 Upper Street,
London,
N1 2XQ More properties from this agent","['6 bedrooms', '4 reception rooms', '4 bathrooms', 'Period', 'Detached', 'Garden', 'Gym', 'Town/City']","Located in the heart of the Barnsbury Conservation Area, this remarkable Grade II listed home stands out as one of the few fully detached, double-fronted properties in the area—a truly rare find. Spanning approximately 6,077 sq ft, the house is set across just three principal floors, offering a seamless balance of grandeur, elegance, and practical family living. Upon entry, a beautifully landscaped front garden creates an inviting approach, leading to a stunning raised ground floor filled with natural light and character. This level features a formal drawing room, an elegant dining room, a spacious sitting room with balcony, a library, and a dedicated study, all with impressive proportions and period detailing. The lower ground floor has been cleverly designed for both entertaining and everyday use. It includes a large kitchen with an adjacent pantry, a charming garden room with direct access to the rear terrace, a gym with an en suite shower room, and practical additions such as a utility room, wine storage, and boiler room. Both the rear and front gardens are beautifully maintained, with mature planting offering year-round greenery and privacy—ideal for outdoor entertaining or quiet relaxation. Upstairs, the first floor hosts six generously sized bedrooms, including a luxurious principal suite with en suite bathroom and dressing area, and multiple further bathrooms. The second floor is home to an additional, secluded seventh bedroom/storage room tucked beneath the eaves. A roof terrace adds an unexpected bonus space, offering a quiet retreat with elevated views over the garden. Barnsbury Park is in the heart of the Barnsbury Conservation area and is well placed for the fantastic transport links at Highbury Corner. The London Overground, Victoria Line, National Rail and many bus routes all provide access in all directions. Barnsbury is well placed for access to Farringdon, the new transport hub that serves south Islington. The Elizabeth Line is the new addition to London transport providing speedy access to East and West London to include Canary Wharf and Heathrow. Brochures More Details Barnsbury Park - Bro

Show less",H,Ask agent,Yes,Ask agent
https://www.rightmove.co.uk/properties/163596818,163596818,"£6,500,000",6500000,GBP,Detached,"Canonbury Park South, Islington, London, N1",4.0,3.0,"3,171 sq ft 295 sq m",Freehold,"Savills, Islington 94 Upper Street,
London,
N1 0NP More properties from this agent","['80’ x 75’ south facing garden adjacent to New river Walk', 'Front garden with off street parking', 'Exceptional , iconic Grade II listed Canonbury House', 'Triple fronted, detached two storey house', 'Large plot with south facing garden and off street parking at the front.', 'Amazing 60’ living space overlooking rear garden.', 'Quiet residential road with restricted traffic access', 'EPC Rating = D']","The most iconic house in Canonbury – the magnificent Myddelton Cottage 
 Description The exceptional Myddelton Cottage on the south side of Canonbury Park South is unquestionably one of the most iconic houses in the Islington area. The wisteria clad frontage is most attractive and only adds to the appeal of the accommodation that is laid out over just two floors, is triple fronted and detached. Almost unique in the area. The rooms are full of period features with attractive windows, fireplaces, shutters, ceiling mouldings and the like. The room at the rear of the house includes a sitting room, breakfast room and a conservatory, all enjoying access and views of the south facing rear garden. The additional living space on the ground floor can be utilised as further living space, home office use or dining rooms. Bedrooms and bathrooms occupy the first floor.  The cellarage is just over 1000 sq ft and provides excellent storage space for all manner of uses. The rear garden is almost square; another exception for typical Islington gardens. It faces south and backs onto the New River. The front area  has off street parking for a number of vehicles and provides access to the garage. Location Canonbury Park South is in the heart of the Canonbury Conservation Area and has restricted access to traffic. The south side backs onto The New River and consequently is a quiet residential location in this most favoured street. Access to Upper Street is easy with it’s many shops, restaurants, and bars whilst the excellent transport links including buses, underground, overground and national rail links are equally accessible at Highbury Corner and Canonbury. Square Footage: 3,171 sq ft 
 Brochures Web Details Particulars

Show less",H,Yes,Yes,Ask agent
https://www.rightmove.co.uk/properties/87109398,87109398,"£5,750,000",5750000,GBP,Semi-Detached,"Northampton Park, Islington, London, N1",4.0,3.0,"3,212 sq ft 298 sq m",Freehold,"NEILSON & BAUER LTD, Islington 108-109 Upper Street,
London,
N1 1QN More properties from this agent","['Grade II Listed', '3212 sq. ft of living accommodation', 'Substantial wrap around garden plot', 'Highly desirable Canonbury location', '4 large main bedrooms, three bathrooms', '4 spacious receptions', 'Off Street secure parking via gates', 'Islington Council tax band - H', 'EPC - Grade II listed so exempt.']","Over 25 years ago, with a toddler on a hip, this house became a most fabulous family home to our clients. It’s not hard to understand why. Rarely available, with a huge wrap-around/side and rear garden for passionate gardeners, or for children to burn off energy throughout the day, this property harks back to an era when homes were built with grandeur. Endowed with generous proportions, high ceilings and late Georgian/early Victorian styling and craftsmanship, the property features a curved staircase and multiple, elegant period features. The 1840’s has always been my favourite era of house building and this property is a dream home for me. It just works on so many levels. Each window is a picture onto the mature garden or the horse-chestnuts of the nearby park, unoverlooked from so many aspects, it truly feels like ‘a country house in the city’. A grand entrance hallway with high ceilings and ornate cornicing leads to a bright and airy double reception room with retained original features: the fabulous large sash windows of the period with sliding shutters integrated within the side walls, wide plank wood flooring and fire settings, and a beautiful curved wall. A spacious study with dual aspect is set on the same floor. The lower ground floor features the heart of the property with large, Bulthaup fitted kitchen with central island and with sliding glass doors giving direct access to the rear patio and garden. The dining room with wood burner, is spacious, welcoming and with good ceiling height. The parquet wood flooring glows with the light streaming from the large south facing window to the front. The lower-level hallway offers a most useful boot room, guest cloakroom and large utility room. There is a side garden door for quick access to the garden or parking area. The first-floor landing is a picture itself with attractive turning staircase and a tall (2.8m) west facing side window through which the afternoon sun pours. The principal bedroom is set to the rear with en-suite bathroom. A further two double bedrooms and family bathroom suite are set over the first-floor level. The second floor offers a fabulous double bedroom suite with dressing area and walk-in wet room and a huge eaves storage space. The garden is divine. Three lovely white and blue wisteria adorn the house, providing a spectacular display in summer. With aspects to the south and west the beds are well stocked with mature plants, shrubs and flowering trees for year-round interest, surrounding an unusually huge expanse of lawned garden. This wonderful space is rare in the centre of London as is the generous private off-street parking via secure gates to the side of the house. Northampton Park is a wide and quiet side road next to St Paul’s Shrubbery and close to Canonbury station. Upper Street is a most enjoyable walk away, taking in the Alwyne’s and Canonbury Square, whilst Newington Green is the new go-to for food lovers with many trendy new eateries. Highbury and Islington station is 0.6m, whilst Canonbury station is 0.2m. There is a wide network of bus routes into town. Brochures Particulars

Show less",H,Yes,Yes,Ask agent
https://www.rightmove.co.uk/properties/161654372,161654372,"£5,750,000",5750000,GBP,Semi-Detached,"Northampton Park, 
Canonbury, N1",4.0,3.0,Ask agent,Freehold,"Chestertons, Islington 327 - 329 Upper Street,
Islington,
London,
N1 2XQ More properties from this agent","['Grade II listed family home', 'Four bedrooms', 'Three bathrooms', 'Beautiful period details', 'South facing garden', 'Garden studio', 'Hot tub', ""Backing on to St Paul's shrubbery"", 'Off street car parking for three cars', 'Set within the Canonbury conservation area']","An outstanding example of a Grade II listed Georgian family home, benefitting from a South facing rear garden, which backs directly onto St Paul's Shubbery, spanning c 3,000 sqft of immaculately designed internal space and retaining a wealth of period details, set within the Canonbury conservation area. Accommodation is beautifully presented and comprises; a grand entrance hallway, which features a large ceiling rose and ornate coving and leads to the light filled dual reception space (complete with two original fireplace's), courtesy of the large sash windows. The rear reception space enjoys a serene view across the landscaped, South facing rear garden, which features a summer house, that could be converted into a gym or home office, along with a hot tub. The garden backs directly onto the greenery of St Paul's shubbery, offering complete privacy and a feel of countryside living in central London. There is an additional study space on the lower split level, which provides further garden access, as well as a W.C, with beautiful marble sink, and further side/garden access. The bespoke kitchen/dining space occupies the lower level, featuring a large island with an impressive marble top. The dining space is set behind and provides further garden access. There are two large double bedrooms and bathroom suite on the first floor, with a guest room and shower room on the half landing approaching the first floor. The principal bedroom occupies the top floor, with an en-suite and dressing area, with enviable views across the shrubbery that must be seen to be appreciated. It should be noted that there is off street parking for 3 cars, something rarely found within the borough of Islington. Northampton Park is a wide, tree lined street, moments from the peace and tranquillity of the New River Walk, whilst retaining convenient access to the community focal point of the local shops on Canonbury Place, and within close proximity of the shops, bars and restaurants of Upper Street. Transport can be found at Highbury & Islington station (Victoria Line, London Overground and National Rail) with fabulous connections to the City and West End. Selling your property in Northampton Park? Trying to find your perfect home to buy? Register with  Chestertons Islington  to get the full picture from the experts in the Canonbury market.  Our China Desk is here for you, if Chinese is your preferred language, please get in touch via WeChat ( S-ChestertonsAPAC ) Brochures Super-size images and Full Online Details ---  Brochure and Particulars

Show less",G,Yes,Private garden,Ask agent
https://www.rightmove.co.uk/properties/163368965,163368965,"£5,750,000",5750000,GBP,Semi-Detached,"Northampton Park, London N1",5.0,4.0,"3,118 sq ft 290 sq m",Freehold,"Inigo, London St Alphege Hall Kings Bench Street,
London,
SE1 0QX More properties from this agent",[],"This fine, early Victorian semi-detached house lies on Northampton Park in Islington, on the edge of Canonbury and close to both Highbury and Newington Green. Grade II-listed and set in the Canonbury Conservation Area, the five-bedroom home was built in 1845 and is set across over 3,100 sq ft of internal accommodation. The house is somewhat unique for the area: it occupies an exceptionally spacious and wide-set plot, with wonderfully mature gardens and additional space for secure car parking. Internal architectural features have been beautifully preserved and include original plasterwork, pitch pine floorboards and marble chimneypieces. Mercifully unaltered, the original Victorian proportions and plan lend themselves brilliantly to contemporary life.
 
 Setting the Scene
 
 Northampton Park is set at the northern edge of land originally granted to the Canons of St Bartholomew's Priory, Smithfield, in 1253, later to become known as Canonbury. The land and surrounding area were later acquired in the 18th century and developed in the early 19th century by the Marquess of Northampton, hence the road’s name. The Northampton family owned swathes of Clerkenwell, Finsbury and Islington and were responsible for much of the residential development of these areas, the building works moving northward as the 19th century unfolded.
 
 This home is set in a covetable position at the northern end of the peaceful Northampton Park, a particularly wide set sweeping road that connects to both St Paul’s Road to the south and St Paul’s Place to the east, with St Paul’s Shrubbery, a quiet, wooded park, forming the centre of a triangle of the three connecting roads.
 
 The Grand Tour
 
 Set back from Northampton Park behind spearhead railings and a charming English country-style garden with a star magnolia tree, this south-facing house is three storeys high and three bays wide, built from London stock brick with the west range slightly recessed and containing the raised ground floor entrance.
 
 A Yorkstone path leads to the porch, formed of an engaged Doric antae, plain entablature, decorative transom light and the original panelled door. Fenestration comprises six-over-six box sashes, and the house is crowned with a hipped, slated roof, punctuated by dormer windows to the rear. To the side of the house from the road, large wooden gates open to the private enclosed parking area, with the expansive private gardens unfolding from here.
 
 Entrance is to the raised ground-floor hallway, where tall ceilings meet original plaster cornicing. The open-well staircase lies directly ahead, gently curving its way spine-like through to the top of the house. A study lies to the rear of the staircase, and the remainder of the raised ground floor is home to the capacious bipartite drawing room, over 30 ft deep, with shuttered windows framing views at both north and south aspects and flooding the rooms with light. Carrara marble chimneypieces feature in each of the spaces, separated by folding wedding doors.
 
 Pitch pine parquet flooring extends underfoot through the entire lower ground-floor plan, with a Bulthaup kitchen, dining and informal sitting room, utility room, WC and boot room. A service hall is set to the side of this floor, with an exterior door; further sliding glass doors open directly from the kitchen to an outdoor paved terrace, the perfect spot for long lunches in the warmer months.
 
 The first floor has three bedrooms, including the principal bedroom with its own en suite bathroom and wonderful views to the rear garden, while the two bedrooms to the front of the plan share a bathroom. The uppermost storey has two further bedrooms: one is currently used as a generous dressing room, and both share a wet room finished in a contemporary manner. There is also a vast attic space on this top storey, set within the eaves; incredibly useful for additional storage.
 
 The Great Outdoors
 
 The gardens that envelop the house are exceptionally unusual, almost double the width of the house itself and equally deep. Three mature wisterias wind their way around the entire rear and side elevations of the house - a remarkable feature in spring, when they erupt with blossom. There are multiple spots for seating, including a charming paved terrace nearest the kitchen.
 
 The spacious lawn is surrounded by mature trees and shrubs, with fragrant roses, deep flower beds and a huge evergreen magnolia grandiflora on the central axis of the garden with the delightful pergola, which is positioned carefully to take advantage of the late afternoon sun. A beautiful magnolia denudata is in the west corner.
 
 To the south of the plot is the walled part of the garden, currently used as a gated and enclosed parking space, with a tall sycamore maple tree towering to one side and a parrotia persica affords further privacy and a stunning autumn flush. Documentary evidence suggests there was a coach house here at one time, which could provide evidence for structural development again, subject to local planning consent.
 
 Out and About
 
 Northampton Park is in an excellent location, close to Newington Green’s thriving culinary scene and a great selection of parks, including Highbury Fields, Clissold Park and directly from the south end of Northampton Park, the most beautiful stroll and a short cut to the best tranche of Upper street is down the New River Walk, a restored 1613 aqueduct that is now a peaceful single track walkway that meanders through Canonbury to Cross Street along the waterway.
 
 Dalston and Islington’s Upper Street are also close by, the latter home to an abundance of amenities, from Gail’s and Ottolenghi to The Almeida Theatre and The Old Red Lion Theatre and Pub. King’s Cross and Coal Drops Yard are also within walking distance.
 
 Head west and Highbury’s butchers, delis and cafés form a wonderful Sunday morning itinerary, as do the village-like shops and markets along Stoke Newington’s Church Street. Highbury Barn is also just north, with its highly regarded butcher, deli and cheese shop.
 
 The closest local purveyors however are at Newington Green, including Belle Epoque patisserie, further bakeries, a greengrocer, an Italian deli, a florist, Stella's butchers, a health food shop and Oneo, a fishmonger/sushi bar and wine shop, as well as numerous restaurants including Cadet, Primeur, Jolene, Westerns Laundry, Farang and Perilla.
 
 The Estorick Collection, a brilliant Islington gallery focusing on Italian art, is a short stroll away south and runs a year-round programme of exhibitions; it also has a charming Italian café. Nearby Highbury Fields contains tennis courts, a playground, a swimming pool and a gym within Highbury Leisure Centre.
 
 There are plenty of excellent primary schools nearby, including Canonbury Primary School and St. Paul’s Steiner School, while St Paul’s Cathedral School is a short bus ride away in the City, as is Dallington School in Clerkenwell, while North Bridge House School has a site in Canonbury itself. Some of London’s best independent secondary schools are also easily accessible and include the City of London School and the City of London School for Girls. Alternative day schools can be easily accessed via the Mildmay Line, including South Hampstead High School and University College School.
 
 Highbury and Islington station (Victoria line and Overground) as well as Canonbury station (Overground) both provide brilliant connections into central London and the north-west to south-east London axis. There are also plenty of bus routes.
 
 Council Tax Band: H
 
 For more inspiration, why not look to The Modern House's guides to Canonbury and Highbury, or Stoke Newington and Newington Green?

Read full description",H,Off street,Yes,Ask agent
https://www.rightmove.co.uk/properties/164713727,164713727,"£5,250,000",5250000,GBP,Terraced,"Duncan Terrace, London, N1",5.0,4.0,"3,212 sq ft 298 sq m",Freehold,"Knight Frank, Islington 321-322 Upper Street,
London,
N1 2XQ More properties from this agent","['5 bedrooms', '4 reception rooms', '4 bathrooms', 'Outbuildings', 'Period', 'Garden', 'Roof Terrace', 'Town/City', 'Town House', 'Chain Free']","Positioned on the iconic and sought-after Duncan Terrace, this exceptional Grade II listed early Victorian townhouse has been meticulously restored and reimagined to the highest standard by RIBA award-winning architects Michaelis Boyd, with further design and interiors by renowned luxury residential designer Crawford Design. The result is a home of extraordinary elegance, where Victorian heritage meets modern craftsmanship in a seamless and truly unique way. The house spans nearly 3,000 sq ft across five floors, offering five beautifully appointed bedrooms and four luxurious bathrooms. At the heart of the home lies a stylish and sophisticated handmade kitchen by Matthew King Design. Thoughtfully laid out and finished with Costa Esmerelda green quartzite countertops, the kitchen is equipped with a Lacanche range, a breakfast bar, a Fisher & Paykel fridge freezer with ice maker, a discreet wine fridge, a breakfast pantry cupboard, and a Quooker tap with boiling, sparkling and chilled filtered water. The adjoining dining space retains all of its original Victorian detailing and looks onto the mature trees of Colebrooke Row Gardens. The reception spaces are arranged across three floors. On the first floor is a large, double aspect reception room which is flooded with natural light, oozing character and comfort. The floor-to-ceiling windows again look onto the beautiful Colebrooke Row Gardens. The rear of the room has been recently fitted out as a library and snug. On the lower ground floor is a generously proportioned cinema room / further sitting room. On the half landing, a delightful study boasts charming views of the rear garden from its floor-to-ceiling window. The principal suite occupies the entire second floor and features a large bedroom, extensive and cleverly designed storage, and an unusually spacious en-suite principal bathroom finished in Brazilian green marble, complete with Lefroy Brooks shower and fittings, a Thomas Crapper traditional high cistern WC, and a large solid brass bateau bath. The home boasts four Carrera marble fireplaces. The house retains its original Victorian detailing, including unusually ornate and fully professionally restored cornicing and ceiling roses. The recent renovation included new solid oak flooring throughout the house; a mid-oak premium parquet herringbone on the principal three floors and cross-sawn and smoked natural oak on the top and lower ground elevations.  All aspects of the build are to the very highest standards. All four bathrooms have underfloor heating, the whole house and garden pod are ethernet wired (CAT6e) for hyperfast internet access on every floor, and there is a full suite of Banham security and CCTV systems. The property has a dedicated boot room at ground floor level complete with W.C. and a utility room on the lower ground floor.  The recently landscaped rear garden, by Emma Griffin Garden Design, was designed as a multi-zoned courtyard garden featuring a sunken dining area under a pergola, a higher seating area with a bespoke water feature, integrated lighting and irrigation systems, power sockets for garden working, and cleverly concealed storage areas. At the rear of the garden, sits a garden pod designed and built by Podspace, designed to be used year-round as a studio or office complete with high speed ethernet, insulation and upgraded underfloor heating. The private roof terrace, accessed via a custom-made retractable glass door, is a further space for entertaining or secluded relaxation. Also designed by Emma Griffin Garden Design, it has panoramic views, a bespoke lighting scheme, complete irrigation system, power sockets, and an automatic rain sensor on the glass door. Furthermore, the house offers extensive additional storage via large, under-pavement vaults. A complete re-roofing of the house during renovation allowed for increased ceiling heights on the top floor, which now accommodates three bedrooms and two bathrooms. The house is situated within the Colebrooke Row and Duncan Terrace conservation area. It benefits from a unique position, quiet due to Duncan Terrace being set back from Colebrook Row and having virtually no traffic due to Islington's low-traffic neighbourhoods and yet a couple of moments from the amenities of Camden Passage and Angel and with close proximity from Upper Street. Duncan Terrace is a very short distance from Angel Station, and King's Cross station is one stop away on the Northern Line. Camden Passage Market is very close by, with a selection of popular cafes and restaurants. The shopping facilities and restaurants in Angel generally are well-known and wide ranging. Duncan Terrace is ideal for those seeking easy accessibility into the City. The Regents Canal Path is virtually opposite the house, offering beautiful trips. Even closer to the property, Duncan Terrace Gardens and Colebrook Row Gardens mean there is quiet space to relax amongst mature trees and beautiful planting adjacent to the front door. Brochures More Details Duncan Terrace - Bro

Show less",H,Ask agent,Yes,Ask agent
https://www.rightmove.co.uk/properties/142876973,142876973,"£4,800,000",4800000,GBP,,"Hoxton Street, London, N1",9.0,8.0,Ask agent,Freehold,"Winkworth, Shoreditch 184 
Brick Lane,
London,
E1 6SA  More properties from this agent","['Investment Opportunity', 'Freehold Building', 'Approximately 7000sqft', '7 One Bedroom Flats & 1 Two-Bedroom Flat', 'Commercial Unit', 'Potential For Further Development (STPP)']","This exceptional freehold property, situated on the vibrant Hoxton Street, is a stellar investment opportunity. The building boasts a freehold status, encompassing 8 residential flats and a substantial ground floor commercial space spanning nearly 3000 square feet.  Location: Situated on Hoxton Street, this property is at the heart of one of London's most eclectic and dynamic neighbourhoods. Hoxton is renowned for its trendy atmosphere, artistic community, and convenient access to a wide array of amenities and transportation options. Building Overview: • Freehold Status: This property offers the coveted freehold status, granting the owner complete control and autonomy over the entire premises. Ground floor Commercial Development: • The expansive ground floor commercial space, measuring nearly 3000sqft, presents an excellent opportunity for a variety of businesses, including restaurants, offices, or art galleries. • Featuring large shopfront windows and ample street frontage, this space ensures exceptional visibility and an ideal setting for engaging customers. The shop also benefits from a 362sqft cellar.  Residential Units: • The building comprises a total of 8 residential units: • 7 cleverly designed one-bedroom flats, offering modern living spaces with high-quality amenities. Four flats benefit from outside terraces with one flat benefitting from 2 private balconies, and another flat featuring Juliette balcony.  • 1 spacious two-bedroom flat, catering more generous accommodation. • Each residential unit is thoughtfully configured with open plan layouts, an abundance of natural light, and premium finishes to attract discerning tenants. Current Rental Income: • All 8 residential flats are currently leased under Assured Shorthold Tenancies (ASTs). • The current rental income from these flats stands at an impressive £175,000 per annum. However, there's potential for even higher yields given the current market conditions. Commercial Shop Revenue: • The ground floor commercial space has the potential to generate an estimated yearly revenue of between £35,000 to £40,000, although it had also been receiving £75,000 per year previously. Investment and Growth Potential: • As a freehold property in Hoxton, it offers the owner flexibility for long-term strategic decisions, including possible redevelopment or resale. • Hoxton's thriving real estate market, ever-increasing popularity, and property values make this an exceptionally attractive investment choice. This freehold building with 8 flats and a sizable ground floor commercial space on Hoxton Street is an unparalleled investment opportunity. Whether you're an experienced property investor seeking to diversify your portfolio or a newcomer looking to capitalize on the growth potential of this trendy area, this property provides a unique chance to secure a valuable asset. Brochures Web Details Particulars

Show less",B,Ask agent,Ask agent,Ask agent
https://www.rightmove.co.uk/properties/157247129,157247129,"£4,600,000",4600000,GBP,Block of Apartments,"Mintern Street, London, N1",19.0,,Ask agent,Freehold,"ESTATE OFFICE INVESTMENTS LIMITED, London Ground Floor
1 Finchley Road,
London,
NW8 9TT More properties from this agent",[],"A rare opportunity to acquire an income producing residential investment located between Shoreditch and Hoxton.
 
 The property is ideally located 0.6 miles from Old Street Station (Northern Line) and 0.7 miles from Hoxton Station (Overground).
 
 Comprises 9 self-contained flats arranged over first, second, third and fourth floors:
 2 x studios
 1 x 1 bed
 3 x 2 beds
 2 x 3 beds
 1 x 4 bed
 
 Measuring 6,183 sq ft NIA.
 
 The property is fully let producing a current passing rent of £353,700 pa.
 
 Freehold.
 
 The ground floor commercial element is available via separate negotiation.
 
 We are instructed to seek Offers In Excess Of £4,600,000 (Four Million Six Hundred Thousand Pounds), subject to contract. A purchase at this level reflects a Gross Yield of 7.69%. Brochures Brochure 1

Read full description",Ask agent,Ask agent,Ask agent,Ask agent
https://www.rightmove.co.uk/properties/159194753,159194753,"£4,250,000",4250000,GBP,Terraced,"Duncan Terrace, Islington, London, N1",4.0,2.0,"2,920 sq ft 271 sq m",Freehold,"Savills, Islington 94 Upper Street,
London,
N1 0NP More properties from this agent","['Grade II listed Georgian house', 'Private townhouse garden', 'Cinema room', 'Utility room', 'Store and vaults', 'Wonderful amenities on your doorstop', 'Excellent transport facilities', 'EPC Rating = D']","Very elegant Grade II listed Georgian house at the heart of the Angel. 
 Description Wonderfully located in the heart of the Angel this very elegant Grade II listed Georgian house offers great accommodation throughout. As you enter the house the double reception is on the ground floor and retains dividing doors if you wish to use as two separate rooms.  There are working shutters back and front and contemporary fireplace plus surround in the front room. To the rear is the really impressive kitchen, dining and further reception room.  This area has wonderful light due to the double height ceiling and glass doors at the rear.  The Bulthaup kitchen has excellent cooking and preparation areas and storage.  Sliding doors lead you out to the very private townhouse garden. On the lower ground floor is a further reception which is currently being used as a media room.  There is also an ever useful utility room which is also fitted with Bulthaup  units plus storage and access to two vaults at the front.   The principal suite is on the first floor with the bedroom to the front which has stunning floor to ceiling sash windows and great external ironworks.  This leads through to the dressing area and the en suite bathroom. There are three further double bedrooms and family bathroom on the upper two floors. Location Duncan Terrace is a quiet elegant Georgian terrace of Grade II listed properties, situated behind Camden Passage in the heart of Islington. It is one of Islington's most premier streets, fronted by a quiet strip of garden on a one way street within the conservation area.  It is well placed for the excellent bars, shops and restaurants of Upper Street. The independent shops and cafes of Camden passage are moments away.  Transport links are excellent with the Northern line at the Angel and numerous buses giving access to the whole of London. Square Footage: 2,920 sq ft 
 Brochures Web Details Particulars

Show less",H,Ask agent,Yes,Ask agent
